comparison,species,condition_a,condition_b,n_tested,n_significant
salamandrivorans_liq_Zoospore_vs_spore_Mature,salamandrivorans,liq_Zoospore,spore_Mature,33135,23550
salamandrivorans_liq_Zoospore_vs_spore_Sporangium,salamandrivorans,liq_Zoospore,spore_Sporangium,32683,23108
salamandrivorans_liq_Sporangium_vs_spore_Mature,salamandrivorans,liq_Sporangium,spore_Mature,33480,22964
salamandrivorans_liq_Sporangium_vs_spore_Sporangium,salamandrivorans,liq_Sporangium,spore_Sporangium,33034,22227
dendrobatidis_liq_Sporangium_vs_spore_Mature,dendrobatidis,liq_Sporangium,spore_Mature,29371,22053
dendrobatidis_liq_Zoospore_vs_spore_Mature,dendrobatidis,liq_Zoospore,spore_Mature,29156,21932
dendrobatidis_liq_Mature_vs_spore_Mature,dendrobatidis,liq_Mature,spore_Mature,29632,20881
dendrobatidis_liq_Sporangium_vs_spore_Sporangium,dendrobatidis,liq_Sporangium,spore_Sporangium,28276,20321
dendrobatidis_liq_Zoospore_vs_spore_Sporangium,dendrobatidis,liq_Zoospore,spore_Sporangium,27981,20196
salamandrivorans_liq_Zoospore_vs_spore_Zoospore,salamandrivorans,liq_Zoospore,spore_Zoospore,29525,19575
salamandrivorans_liq_Mature_vs_spore_Mature,salamandrivorans,liq_Mature,spore_Mature,33635,19409
salamandrivorans_liq_Sporangium_vs_spore_Zoospore,salamandrivorans,liq_Sporangium,spore_Zoospore,29967,19049
dendrobatidis_liq_Mature_vs_spore_Sporangium,dendrobatidis,liq_Mature,spore_Sporangium,28580,19015
salamandrivorans_liq_Mature_vs_spore_Sporangium,salamandrivorans,liq_Mature,spore_Sporangium,33216,18962
dendrobatidis_liq_Sporangium_vs_spore_Zoospore,dendrobatidis,liq_Sporangium,spore_Zoospore,25965,17974
dendrobatidis_liq_Zoospore_vs_spore_Zoospore,dendrobatidis,liq_Zoospore,spore_Zoospore,25491,17642
dendrobatidis_liq_Mature_vs_spore_Zoospore,dendrobatidis,liq_Mature,spore_Zoospore,26333,16779
salamandrivorans_liq_Mature_vs_spore_Zoospore,salamandrivorans,liq_Mature,spore_Zoospore,30301,15581
dendrobatidis_spore_Zoospore_vs_spore_Mature,dendrobatidis,spore_Zoospore,spore_Mature,19651,7566
salamandrivorans_spore_Zoospore_vs_spore_Mature,salamandrivorans,spore_Zoospore,spore_Mature,21576,6968
dendrobatidis_spore_Sporangium_vs_spore_Mature,dendrobatidis,spore_Sporangium,spore_Mature,21816,5507
salamandrivorans_spore_Zoospore_vs_spore_Sporangium,salamandrivorans,spore_Zoospore,spore_Sporangium,20913,5019
dendrobatidis_spore_Zoospore_vs_spore_Sporangium,dendrobatidis,spore_Zoospore,spore_Sporangium,19825,3396
dendrobatidis_liq_Zoospore_vs_liq_Sporangium,dendrobatidis,liq_Zoospore,liq_Sporangium,25052,398
dendrobatidis_liq_Zoospore_vs_liq_Mature,dendrobatidis,liq_Zoospore,liq_Mature,25613,0
dendrobatidis_liq_Sporangium_vs_liq_Mature,dendrobatidis,liq_Sporangium,liq_Mature,25530,0
salamandrivorans_liq_Sporangium_vs_liq_Mature,salamandrivorans,liq_Sporangium,liq_Mature,29476,0
salamandrivorans_liq_Zoospore_vs_liq_Mature,salamandrivorans,liq_Zoospore,liq_Mature,29657,0
salamandrivorans_liq_Zoospore_vs_liq_Sporangium,salamandrivorans,liq_Zoospore,liq_Sporangium,28958,0
salamandrivorans_spore_Sporangium_vs_spore_Mature,salamandrivorans,spore_Sporangium,spore_Mature,22005,0
