row_id	mz	rt	median_a	median_b	log2FC_a_over_b	U_stat	p_value	q_value
3880	174.1852	3.231192	0.0	3.7119611845915046e-05	-26.145678308148298	5.0	0.00023124570864334055	0.057309815818514985
7500	262.202	1.849	0.0	2.468535997602086e-05	-25.557152376868853	5.0	0.00023124570864334055	0.057309815818514985
3278	234.2062	3.497201	0.0	2.0372149112580418e-05	-25.280094881716465	5.0	0.00023124570864334055	0.057309815818514985
7023	555.527	5.514973	0.0	1.2068143775990993e-05	-24.52470051348964	5.0	0.00023124570864334055	0.057309815818514985
15514	263.242	3.437756	0.0	6.258577793266589e-06	-23.577403539229625	5.0	0.00023124570864334055	0.057309815818514985
23719	232.2266	3.9475	0.0	4.948722063205813e-06	-23.23862473298664	5.0	0.00023124570864334055	0.057309815818514985
20163	374.2903	5.723338	0.0	4.6589118487083755e-06	-23.15156175762131	5.0	0.00023124570864334055	0.057309815818514985
22446	290.2508	4.536913	0.0	4.629882455902019e-06	-23.142544291735366	5.0	0.00023124570864334055	0.057309815818514985
18087	556.5287	5.522902	0.0	4.417415712787604e-06	-23.074771340084723	5.0	0.00023124570864334055	0.057309815818514985
23918	338.2456	5.427498	0.0	3.927110714012396e-06	-22.90503702437769	5.0	0.00023124570864334055	0.057309815818514985
26441	404.3026	5.632817	0.0	3.715180112293259e-06	-22.82500091794161	5.0	0.00023124570864334055	0.057309815818514985
28409	290.2692	4.032845	0.0	3.6642004653012743e-06	-22.805067200404405	5.0	0.00023124570864334055	0.057309815818514985
21151	259.283	5.889039	0.0	3.645076714889876e-06	-22.7975179452917	5.0	0.00023124570864334055	0.057309815818514985
19771	692.4929	7.654496	0.0	3.6298392009795024e-06	-22.79147440743272	5.0	0.00023124570864334055	0.057309815818514985
24800	388.3051	5.952241	0.0	3.4940325710587185e-06	-22.73646183276677	5.0	0.00023124570864334055	0.057309815818514985
30622	230.2491	4.894036	0.0	3.199691515350225e-06	-22.609501615277285	5.0	0.00023124570864334055	0.057309815818514985
23163	415.2129	6.076388	0.0	2.906446479919033e-06	-22.47082516015595	5.0	0.00023124570864334055	0.057309815818514985
25066	320.3061	6.504039	0.0	2.890003970658475e-06	-22.462640293812004	5.0	0.00023124570864334055	0.057309815818514985
31191	431.2083	6.243506	0.0	2.811866396268842e-06	-22.4230968733229	5.0	0.00023124570864334055	0.057309815818514985
28814	448.2321	6.332566	0.0	2.783977484503119e-06	-22.408716371827712	5.0	0.00023124570864334055	0.057309815818514985
