row_id	mz	rt	median_a	median_b	log2FC_a_over_b	prevalence_a	prevalence_b	prevalence_diff	U_stat	p_value	q_value
249	218.2119	3.265	0.0	0.0014745847881042352	-12.131688541956624	0.4	1.0	-0.6	0.0	0.007936507936507936	0.2949654299347551
1862	561.2849	2.312226	0.00024244576111817872	0.0	9.528746643485944	1.0	0.4	0.6	25.0	0.007936507936507936	0.2949654299347551
2270	262.2383	3.445452	0.0	9.175224378010469e-05	-8.130104245122967	0.2	1.0	-0.8	0.0	0.007936507936507936	0.2949654299347551
2624	650.367	3.245	8.442568596598189e-05	0.0	8.010489616929595	1.0	0.0	1.0	25.0	0.007936507936507936	0.2949654299347551
3782	650.8707	3.245	7.361024434899546e-05	0.0	7.813535967817948	1.0	0.0	1.0	25.0	0.007936507936507936	0.2949654299347551
3880	174.1852	3.231192	0.0	6.727499384843095e-05	-7.684303550262044	0.0	1.0	-1.0	0.0	0.007936507936507936	0.2949654299347551
3278	234.2062	3.497201	0.0	4.429014588939768e-05	-7.084854376632289	0.0	1.0	-1.0	0.0	0.007936507936507936	0.2949654299347551
7500	262.202	1.849	0.0	4.30825673473284e-05	-7.045270696468123	0.0	1.0	-1.0	0.0	0.007936507936507936	0.2949654299347551
7125	785.419	3.217046	0.0	4.283455082309217e-05	-7.0370046750818895	0.2	1.0	-0.8	0.0	0.007936507936507936	0.2949654299347551
7934	445.2275	0.58	3.899991561276873e-05	0.0	6.902780466636799	1.0	0.2	0.8	25.0	0.007936507936507936	0.2949654299347551
38417	247.2453	4.67907	0.0	3.2131026062452395e-05	-6.625851680184948	0.4	1.0	-0.6	0.0	0.007936507936507936	0.2949654299347551
3157	670.3433	0.589	0.0	3.183062461149304e-05	-6.612437952819986	0.2	1.0	-0.8	0.0	0.007936507936507936	0.2949654299347551
12782	724.3994	3.567	0.0	2.96374268047002e-05	-6.510533380776847	0.2	1.0	-0.8	0.0	0.007936507936507936	0.2949654299347551
8012	656.8702	2.572	2.917147590258268e-05	0.0	6.4879242933700105	1.0	0.0	1.0	25.0	0.007936507936507936	0.2949654299347551
11103	373.2076	3.088257	2.8614278435212875e-05	0.0	6.460414104191452	1.0	0.4	0.6	25.0	0.007936507936507936	0.2949654299347551
8730	555.527	5.52691	0.0	2.7638959651186233e-05	-6.410960198166153	0.2	1.0	-0.8	0.0	0.007936507936507936	0.2949654299347551
17501	724.416	3.605	0.0	2.5812814008623493e-05	-6.313543266986595	0.0	1.0	-1.0	0.0	0.007936507936507936	0.2949654299347551
4186	1551.8827	4.2025	0.0	2.5731203847167924e-05	-6.309032324696546	0.4	1.0	-0.6	0.0	0.007936507936507936	0.2949654299347551
7023	555.527	5.514973	0.0	2.5315561291834687e-05	-6.285836553553642	0.0	1.0	-1.0	0.0	0.007936507936507936	0.2949654299347551
5085	1452.816	3.975925	0.0	2.10305004770524e-05	-6.0220578829553935	0.0	1.0	-1.0	0.0	0.007936507936507936	0.2949654299347551
