MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	species	plate	replicate	matrix	sample_type	is_C_companion	has_C_companion	companion_of	timepoint_hrs	life_stage	media	seeding_concentration	is_media_control	use_in_analysis	exclusion_reason	date_seeded	date_collected	container	notes
MSV000090464	A1_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A1_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A1_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	1	liq	sample	False	False		8	Zoospore	1% Tryptone	7.5x10^6	False	True		3/16/2021	3/16/2021	eppendorf 1.5mL	NA
MSV000090464	A1_spore.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	solid material, dried	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A1_spore	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A1_spore	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	1	spore	sample	False	True	A1C_liq.mzML	8	Zoospore	1% Tryptone	7.5x10^6	False	True		3/16/2021	3/16/2021	eppendorf 1.5mL	NA
MSV000090464	A1C_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A1C_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A1C_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	1	liq	sample	True	False	A1_spore.mzML	8	Zoospore	1% Tryptone	0	True	True		3/16/2021	3/16/2021	eppendorf 1.5mL	NA
MSV000090464	A2_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A2_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A2_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	2	liq	sample	False	False		48	Sporangium	1% Tryptone	7.5x10^6	False	True		3/16/2021	3/17/2021	nest 25cm^2 cell culture flask, non-TC	NA
MSV000090464	A2_spore.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	solid material, dried	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A2_spore	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A2_spore	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	2	spore	sample	False	True	A2C_liq.mzML	48	Sporangium	1% Tryptone	7.5x10^6	False	True		3/16/2021	3/17/2021	nest 25cm^2 cell culture flask, non-TC	NA
MSV000090464	A2C_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A2C_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A2C_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	2	liq	sample	True	False	A2_spore.mzML	48	Sporangium	1% Tryptone	0	True	True		3/16/2021	3/17/2021	nest 25cm^2 cell culture flask, non-TC	NA
MSV000090464	A3_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A3_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A3_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	3	liq	sample	False	False		96	Mature	1% Tryptone	7.5x10^6	False	True		3/16/2021	3/19/2021	nest 25cm^2 cell culture flask, non-TC	NA
MSV000090464	A3_spore.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	solid material, dried	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A3_spore	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A3_spore	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	3	spore	sample	False	True	A3C_liq.mzML	96	Mature	1% Tryptone	7.5x10^6	False	True		3/16/2021	3/19/2021	nest 25cm^2 cell culture flask, non-TC	NA
MSV000090464	A3C_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	A3C_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_A3C_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	A	3	liq	sample	True	False	A3_spore.mzML	96	Mature	1% Tryptone	0	True	True		3/16/2021	3/19/2021	nest 25cm^2 cell culture flask, non-TC	NA
MSV000090464	B1_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	B1_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_B1_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	B	1	liq	sample	False	False		8	Zoospore	1% Tryptone	7.5x10^6	False	False	B plate: Cells synced using conditioned media. DO NOT USE. Shipped as point of interest for later study	3/18/2021	3/18/2021	eppendorf 1.5mL	Cells synced using conditioned media. DO NOT USE. Shipped as point of interest for later study
MSV000090464	B1_spore.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	solid material, dried	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	B1_spore	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_B1_spore	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	B	1	spore	sample	False	True	B1C_liq.mzML	8	Zoospore	1% Tryptone	7.5x10^6	False	False	B plate: Cells synced using conditioned media. DO NOT USE. Shipped as point of interest for later study	3/18/2021	3/18/2021	eppendorf 1.5mL	Cells synced using conditioned media. DO NOT USE. Shipped as point of interest for later study
MSV000090464	B1C_liq.mzML	culture_fungal	culture_fungal	403673|Batrachochytrium dendrobatidis	2022	liquid	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	B1C_liq	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	9/2/2022 12:00	United States of America	not applicable	not specified	not specified	not specified	MSV000090464_B1C_liq	not applicable	not applicable	not applicable	Batrachochytrium dendrobatidis	B	1	liq	sample	True	False	B1_spore.mzML	8	Zoospore	1% Tryptone	0	True	False	B plate: Cells synced using conditioned media. DO NOT USE. Shipped as point of interest for later study	3/18/2021	3/18/2021	eppendorf 1.5mL	Cells synced using conditioned media. DO NOT USE. Shipped as point of interest for later study
